taxon,mass_g,source_mass,n,kingdom,phylum,class,order,family,genus,species,confidence
Empetrichthys_latos_latos,2.3,Cai_etal_2025,1.0,Animalia,Chordata,,Cyprinodontiformes,Goodeidae,Empetrichthys,Empetrichthys latos,98.0
Enchelynassa_canina,22343.8,Cai_etal_2025,1.0,Animalia,Chordata,,Anguilliformes,Muraenidae,Enchelynassa,Enchelynassa canina,99.0
Enchelyopus_cimbrius,139.430139286213,fishbase; Froese_2014,,Animalia,Chordata,,Gadiformes,Lotidae,Enchelyopus,Enchelyopus cimbrius,99.0
Enchodelus_macrodorus,3.525e-06,rdataretriever-predator-prey-body-ratio,1.0,Animalia,Nematoda,,Dorylaimida,Nordiidae,Enchodelus,Enchodelus macrodorus,99.0
Encrasicholina_punctifer,6.3600001335144,fishbase,1.0,Animalia,Chordata,,Clupeiformes,Engraulidae,Encrasicholina,Encrasicholina punctifer,99.0
Engraulis_anchoita,6.6,Viana_2016,,Animalia,Chordata,,Clupeiformes,Engraulidae,Engraulis,Engraulis anchoita,99.0
Engraulis_encrasicholus,6.0,Brown_etal_2018,1.0,Animalia,Chordata,,Clupeiformes,Engraulidae,Engraulis,Engraulis encrasicolus,98.0
Engraulis_encrasicolus,7.7,Samsun_2004,,Animalia,Chordata,,Clupeiformes,Engraulidae,Engraulis,Engraulis encrasicolus,99.0
Engraulis_encrassicolus,27.6538706111158,rdataretriever-predator-prey-body-ratio,1.0,Animalia,Chordata,,Clupeiformes,Engraulidae,Engraulis,Engraulis encrasicolus,95.0
Engraulis_japonicus,9.0,Brown_etal_2018,1.0,Animalia,Chordata,,Clupeiformes,Engraulidae,Engraulis,Engraulis japonicus,99.0
Engraulis_mordax,5.25,Brown_etal_2018,1.0,Animalia,Chordata,,Clupeiformes,Engraulidae,Engraulis,Engraulis mordax,99.0
Engraulis_ringens,7.44983221287567,Brown_etal_2018,1.0,Animalia,Chordata,,Clupeiformes,Engraulidae,Engraulis,Engraulis ringens,99.0
Engyprosopon_macrolepis,40.0923937406855,fishbase,1.0,Animalia,Chordata,,Pleuronectiformes,Bothidae,Engyprosopon,Engyprosopon macrolepis,99.0
Enneacanthus_gloriosus,15.1829750474968,fishbase; Froese_2014,,Animalia,Chordata,,Perciformes,Centrarchidae,Enneacanthus,Enneacanthus gloriosus,99.0
Enneacanthus_obesus,3.0,Gillooly_etal_2016,1.0,Animalia,Chordata,,Perciformes,Centrarchidae,Enneacanthus,Enneacanthus obesus,99.0
Enophrys_diceraus,760.0,Cai_etal_2025,1.0,Animalia,Chordata,,Scorpaeniformes,Cottidae,Enophrys,Enophrys diceraus,99.0
Enoplosus_armatus,777.6,Cai_etal_2025,1.0,Animalia,Chordata,,Perciformes,Enoplosidae,Enoplosus,Enoplosus armatus,98.0
Enteromius_paludinosus,39.1757003810476,fishbase; Froese_2015,,Animalia,Chordata,,Cypriniformes,Cyprinidae,Enteromius,Enteromius paludinosus,99.0
Entomocorus_gameroi,3.70764412114937,fishbase; Froese_2014,,Animalia,Chordata,,Siluriformes,Auchenipteridae,Entomocorus,Entomocorus gameroi,99.0
Eopsetta_jordani,1063.96428511487,Brown_etal_2018,1.0,Animalia,Chordata,,Pleuronectiformes,Pleuronectidae,Eopsetta,Eopsetta jordani,99.0
Epalzeorhynchos_frenatus,2.1,Killen_etal_2016,1.0,Animalia,Chordata,,Cypriniformes,Cyprinidae,Epalzeorhynchos,Epalzeorhynchos frenatus,99.0
Ephippion_guttifer,82.4,Ndiaye_2015,,Animalia,Chordata,,Tetraodontiformes,Tetraodontidae,Ephippion,Ephippion guttifer,99.0
Ephippus_orbis,786.6,Cai_etal_2025,1.0,Animalia,Chordata,,Perciformes,Ephippidae,Ephippus,Ephippus orbis,99.0
Epigonus_angustifrons,595.0,fishbase,1.0,Animalia,Chordata,,Perciformes,Epigonidae,Epigonus,Epigonus angustifrons,99.0
Epigonus_crassicaudus,1037.3235036716,fishbase,1.0,Animalia,Chordata,,Perciformes,Epigonidae,Epigonus,Epigonus crassicaudus,99.0
Epigonus_denticulatus,78.5,Cai_etal_2025,1.0,Animalia,Chordata,,Perciformes,Epigonidae,Epigonus,Epigonus denticulatus,99.0
Epigonus_elegans,43.0,fishbase,1.0,Animalia,Chordata,,Perciformes,Epigonidae,Epigonus,Epigonus elegans,99.0
Epigonus_pandionis,154.199996948242,fishbase,1.0,Animalia,Chordata,,Perciformes,Epigonidae,Epigonus,Epigonus pandionis,99.0
Epinephelides_armatus,3000.0,fishbase,1.0,Animalia,Chordata,,Perciformes,Serranidae,Epinephelides,Epinephelides armatus,99.0
Epinephelus_adscensionis,2342.37759653391,fishbase,1.0,Animalia,Chordata,,Perciformes,Serranidae,Epinephelus,Epinephelus adscensionis,99.0
Epinephelus_aeneus,15572.4115023974,fishbase,1.0,Animalia,Chordata,,Perciformes,Serranidae,Epinephelus,Epinephelus aeneus,99.0
Epinephelus_akaara,5272.5,Cai_etal_2025,1.0,Animalia,Chordata,,Perciformes,Serranidae,Epinephelus,Epinephelus akaara,99.0
Epinephelus_areolatus,1376.3,Cai_etal_2025,1.0,Animalia,Chordata,,Perciformes,Serranidae,Epinephelus,Epinephelus areolatus,99.0
Epinephelus_awoara,3851.4,Cai_etal_2025,1.0,Animalia,Chordata,,Perciformes,Serranidae,Epinephelus,Epinephelus awoara,99.0
Epinephelus_bleekeri,8499.7,Cai_etal_2025,1.0,Animalia,Chordata,,Perciformes,Serranidae,Epinephelus,Epinephelus bleekeri,99.0
Epinephelus_bontoides,355.1,Cai_etal_2025,1.0,Animalia,Chordata,,Perciformes,Serranidae,Epinephelus,Epinephelus bontoides,99.0
Epinephelus_bruneus,45061.0,Cai_etal_2025,1.0,Animalia,Chordata,,Perciformes,Serranidae,Epinephelus,Epinephelus bruneus,99.0
Epinephelus_chlorostigma,7837.0,Cai_etal_2025,1.0,Animalia,Chordata,,Perciformes,Serranidae,Epinephelus,Epinephelus chlorostigma,99.0
Epinephelus_coioides,8249.99999999999,AnAge,1.0,Animalia,Chordata,,Perciformes,Serranidae,Epinephelus,Epinephelus coioides,99.0
Epinephelus_corallicola,2000.8,Cai_etal_2025,1.0,Animalia,Chordata,,Perciformes,Serranidae,Epinephelus,Epinephelus corallicola,99.0
Epinephelus_diacanthus,1530.0,fishbase,1.0,Animalia,Chordata,,Perciformes,Serranidae,Epinephelus,Epinephelus diacanthus,99.0
Epinephelus_drummondhayi,16500.0,AnAge,1.0,Animalia,Chordata,,Perciformes,Serranidae,Epinephelus,Epinephelus drummondhayi,99.0
Epinephelus_epistictus,3800.1,Cai_etal_2025,1.0,Animalia,Chordata,,Perciformes,Serranidae,Epinephelus,Epinephelus epistictus,99.0
Epinephelus_fasciatomaculosus,355.1,Cai_etal_2025,1.0,Animalia,Chordata,,Perciformes,Serranidae,Epinephelus,Epinephelus fasciatomaculosus,99.0
Epinephelus_fasciatus,2000.0,fishbase,,Animalia,Chordata,,Perciformes,Serranidae,Epinephelus,Epinephelus fasciatus,99.0
Epinephelus_flavolimbatus,10230.0,AnAge,1.0,Animalia,Chordata,,Perciformes,Serranidae,Hyporthodus,Hyporthodus flavolimbatus,98.0
Epinephelus_guttatus,470.0,Brown_etal_2018,1.0,Animalia,Chordata,,Perciformes,Serranidae,Epinephelus,Epinephelus guttatus,99.0
Epinephelus_itajara,217531.60689886,fishbase,1.0,Animalia,Chordata,,Perciformes,Serranidae,Epinephelus,Epinephelus itajara,99.0
Epinephelus_lanceolatus,340515.9,Cai_etal_2025,1.0,Animalia,Chordata,,Perciformes,Serranidae,Epinephelus,Epinephelus lanceolatus,99.0
Epinephelus_latifasciatus,38459.1,Cai_etal_2025,1.0,Animalia,Chordata,,Perciformes,Serranidae,Epinephelus,Epinephelus latifasciatus,99.0
Epinephelus_malabaricus,246236.9,Cai_etal_2025,1.0,Animalia,Chordata,,Perciformes,Serranidae,Epinephelus,Epinephelus malabaricus,99.0
Epinephelus_marginatus,33000.0,AnAge,1.0,Animalia,Chordata,,Perciformes,Serranidae,Epinephelus,Epinephelus marginatus,99.0
Epinephelus_melanostigma,3794.0,fishbase,1.0,Animalia,Chordata,,Perciformes,Serranidae,Epinephelus,Epinephelus melanostigma,99.0
Epinephelus_merra,547.1,Cai_etal_2025,1.0,Animalia,Chordata,,Perciformes,Serranidae,Epinephelus,Epinephelus merra,99.0
Epinephelus_morio,6500.0,fishbase,1.0,Animalia,Chordata,,Perciformes,Serranidae,Epinephelus,Epinephelus morio,99.0
Epinephelus_multinotatus,9000.0,fishbase,1.0,Animalia,Chordata,,Perciformes,Serranidae,Epinephelus,Epinephelus multinotatus,99.0
Epinephelus_niveatus,16500.0,AnAge,1.0,Animalia,Chordata,,Perciformes,Serranidae,Hyporthodus,Hyporthodus niveatus,98.0
Epinephelus_polylepis,6150.0,fishbase,1.0,Animalia,Chordata,,Perciformes,Serranidae,Epinephelus,Epinephelus polylepis,99.0
Epinephelus_quoyanus,1038.23322593403,fishbase; Froese_2014,,Animalia,Chordata,,Perciformes,Serranidae,Epinephelus,Epinephelus quoyanus,99.0
Epinephelus_sexfasciatus,1555.8,Cai_etal_2025,1.0,Animalia,Chordata,,Perciformes,Serranidae,Epinephelus,Epinephelus sexfasciatus,99.0
Epinephelus_spilotoceps,1543.0,fishbase,1.0,Animalia,Chordata,,Perciformes,Serranidae,Epinephelus,Epinephelus spilotoceps,99.0
Epinephelus_stictus,474.5,Cai_etal_2025,1.0,Animalia,Chordata,,Perciformes,Serranidae,Epinephelus,Epinephelus stictus,99.0
Epinephelus_stoliczkae,580.770731336175,fishbase; Froese_2014,,Animalia,Chordata,,Perciformes,Serranidae,Epinephelus,Epinephelus stoliczkae,99.0
Epinephelus_striatus,3230.0,Brown_etal_2018,1.0,Animalia,Chordata,,Perciformes,Serranidae,Epinephelus,Epinephelus striatus,97.0
Epinephelus_tauvina,17846.4,Cai_etal_2025,1.0,Animalia,Chordata,,Perciformes,Serranidae,Epinephelus,Epinephelus tauvina,99.0
Epinephelus_timorensis,4539.0,fishbase,1.0,Animalia,Chordata,,Perciformes,Serranidae,Epinephelus,Epinephelus timorensis,99.0
Epinephelus_trimaculatus,1678.1,Cai_etal_2025,1.0,Animalia,Chordata,,Perciformes,Serranidae,Epinephelus,Epinephelus trimaculatus,99.0
Epinephelus_tukula,82402.9,Cai_etal_2025,1.0,Animalia,Chordata,,Perciformes,Serranidae,Epinephelus,Epinephelus tukula,99.0
Epinnula_magistralis,10963.4,Cai_etal_2025,1.0,Animalia,Chordata,,Perciformes,Gempylidae,Epinnula,Epinnula magistralis,99.0
Epinnula_pacifica,4700.0,fishbase,1.0,Animalia,Chordata,,Perciformes,Gempylidae,Epinnula,Epinnula pacifica,99.0
Epiplatys_dageti_dageti,1.0,Cai_etal_2025,1.0,Animalia,Chordata,,Cyprinodontiformes,Nothobranchiidae,Epiplatys,Epiplatys dageti,98.0
Epiplatys_grahami,1.7,Cai_etal_2025,1.0,Animalia,Chordata,,Cyprinodontiformes,Nothobranchiidae,Epiplatys,Epiplatys grahami,99.0
Epiplatys_guineensis,3.7,Cai_etal_2025,1.0,Animalia,Chordata,,Cyprinodontiformes,Nothobranchiidae,Epiplatys,Epiplatys guineensis,99.0
Epiplatys_lamottei,1.7,Cai_etal_2025,1.0,Animalia,Chordata,,Cyprinodontiformes,Nothobranchiidae,Epiplatys,Epiplatys lamottei,99.0
Epiplatys_multifasciatus,2.3,Cai_etal_2025,1.0,Animalia,Chordata,,Cyprinodontiformes,Nothobranchiidae,Epiplatys,Epiplatys multifasciatus,99.0
Epiplatys_sexfasciatus_togolensis,17.6,Cai_etal_2025,1.0,Animalia,Chordata,,Cyprinodontiformes,Nothobranchiidae,Epiplatys,Epiplatys togolensis,98.0
Equetus_punctatus,62.5415839014449,fishbase; Froese_2014,,Animalia,Chordata,,Perciformes,Sciaenidae,Equetus,Equetus punctatus,99.0
Equulites_lineolatus,10.0,fishbase,1.0,Animalia,Chordata,,Perciformes,Leiognathidae,Equulites,Equulites lineolatus,99.0
Erigone_atra,0.0003,rdataretriever-predator-prey-body-ratio,1.0,Animalia,Arthropoda,,,,,,97.0
Erilepis_zonifer,88518.4,Cai_etal_2025,1.0,Animalia,Chordata,,Scorpaeniformes,Anoplopomatidae,Erilepis,Erilepis zonifer,99.0
Erimyzon_oblongus,1556.8,Cai_etal_2025,1.0,Animalia,Chordata,,Cypriniformes,Catostomidae,Erimyzon,Erimyzon oblongus,99.0
Erisphex_pottii,18.099723607266,fishbase,1.0,Animalia,Chordata,,Scorpaeniformes,Aploactinidae,Erisphex,Erisphex pottii,99.0
Erpetoichthys_calabaricus,93.2,Cai_etal_2025,1.0,Animalia,Chordata,,Polypteriformes,Polypteridae,Erpetoichthys,Erpetoichthys calabaricus,99.0
Erromyzon_sinensis,0.8,Cai_etal_2025,1.0,Animalia,Chordata,,Cypriniformes,Balitoridae,Erromyzon,Erromyzon sinensis,99.0
Erythrocles_schlegelii,310.0,fishbase,1.0,Animalia,Chordata,,Perciformes,Emmelichthyidae,Erythrocles,Erythrocles schlegelii,99.0
Escualosa_thoracata,13.6999998092651,fishbase,1.0,Animalia,Chordata,,Clupeiformes,Clupeidae,Escualosa,Escualosa thoracata,99.0
Esmaeilius_vladykovi,5.12542681010029,fishbase,1.0,Animalia,Chordata,,Cyprinodontiformes,Aphaniidae,Esmaeilius,Esmaeilius vladykovi,99.0
Esomus_danrica,5.0,fishbase,1.0,Animalia,Chordata,,Cypriniformes,Cyprinidae,Esomus,Esomus danrica,99.0
Esomus_lineatus,3.15700006484985,fishbase,1.0,Animalia,Chordata,,Cypriniformes,Cyprinidae,Esomus,Esomus lineatus,99.0
Esomus_metallicus,5.05999994277954,fishbase,1.0,Animalia,Chordata,,Cypriniformes,Cyprinidae,Esomus,Esomus metallicus,99.0
Esox_americanus,200.0,fishbase,1.0,Animalia,Chordata,,Esociformes,Esocidae,Esox,Esox americanus,99.0
Esox_americanus_americanus,411.0,Cai_etal_2025,1.0,Animalia,Chordata,,Esociformes,Esocidae,Esox,Esox americanus,98.0
Esox_cisalpinus,10000.0,fishbase,1.0,Animalia,Chordata,,Esociformes,Esocidae,Esox,Esox cisalpinus,99.0
Esox_lucius,1345.58537447462,Brown_etal_2018,1.0,Animalia,Chordata,,Esociformes,Esocidae,Esox,Esox lucius,99.0
Esox_masquinongy,60136.8,Cai_etal_2025,1.0,Animalia,Chordata,,Esociformes,Esocidae,Esox,Esox masquinongy,99.0
Esox_niger,4300.0,fishbase,,Animalia,Chordata,,Esociformes,Esocidae,Esox,Esox niger,99.0
Esox_reichertii,11221.5,Cai_etal_2025,1.0,Animalia,Chordata,,Esociformes,Esocidae,Esox,Esox reichertii,99.0
Etelis_oculatus,5769.22871794835,fishbase,1.0,Animalia,Chordata,,Perciformes,Lutjanidae,Etelis,Etelis oculatus,99.0
Etheostoma_barbouri,2.7,Quaardvark,1.0,Animalia,Chordata,,Perciformes,Percidae,Etheostoma,Etheostoma barbouri,99.0
Etheostoma_blennioides,40.2,Cai_etal_2025,1.0,Animalia,Chordata,,Perciformes,Percidae,Etheostoma,Etheostoma blennioides,99.0
Etheostoma_caeruleum,0.7,Cai_etal_2025,1.0,Animalia,Chordata,,Perciformes,Percidae,Etheostoma,Etheostoma caeruleum,99.0
Etheostoma_camurum,4.4,Cai_etal_2025,1.0,Animalia,Chordata,,Perciformes,Percidae,Etheostoma,Etheostoma camurum,99.0
Etheostoma_chuckwachatte,3.8,Cai_etal_2025,1.0,Animalia,Chordata,,Perciformes,Percidae,Etheostoma,Etheostoma chuckwachatte,99.0
Etheostoma_flabellare,1.0,Cai_etal_2025,1.0,Animalia,Chordata,,Perciformes,Percidae,Etheostoma,Etheostoma flabellare,99.0
Etheostoma_fonticola,5.4,Cai_etal_2025,1.0,Animalia,Chordata,,Perciformes,Percidae,Etheostoma,Etheostoma fonticola,99.0
Etheostoma_jessiae,2.3,Cai_etal_2025,1.0,Animalia,Chordata,,Perciformes,Percidae,Etheostoma,Etheostoma jessiae,99.0
Etheostoma_microperca,0.29,Quaardvark,1.0,Animalia,Chordata,,Perciformes,Percidae,Etheostoma,Etheostoma microperca,99.0
Etheostoma_nigrum,0.5,Cai_etal_2025,1.0,Animalia,Chordata,,Perciformes,Percidae,Etheostoma,Etheostoma nigrum,99.0
Etheostoma_olmstedi,10.2,Cai_etal_2025,1.0,Animalia,Chordata,,Perciformes,Percidae,Etheostoma,Etheostoma olmstedi,99.0
Etheostoma_osburni,7.6,Cai_etal_2025,1.0,Animalia,Chordata,,Perciformes,Percidae,Etheostoma,Etheostoma osburni,99.0
Etheostoma_radiosum,4.6,Cai_etal_2025,1.0,Animalia,Chordata,,Perciformes,Percidae,Etheostoma,Etheostoma radiosum,99.0
Etheostoma_spectabile,0.4,Cai_etal_2025,1.0,Animalia,Chordata,,Perciformes,Percidae,Etheostoma,Etheostoma spectabile,99.0
Etheostoma_tallapoosae,1.5,Cai_etal_2025,1.0,Animalia,Chordata,,Perciformes,Percidae,Etheostoma,Etheostoma tallapoosae,99.0
Etheostoma_tippecanoe,0.5,Cai_etal_2025,1.0,Animalia,Chordata,,Perciformes,Percidae,Etheostoma,Etheostoma tippecanoe,99.0
Etheostoma_trisella,1.5,Cai_etal_2025,1.0,Animalia,Chordata,,Perciformes,Percidae,Etheostoma,Etheostoma trisella,99.0
Etheostoma_variatum,10.2,Cai_etal_2025,1.0,Animalia,Chordata,,Perciformes,Percidae,Etheostoma,Etheostoma variatum,99.0
Etheostoma_zonale,5.2,Cai_etal_2025,1.0,Animalia,Chordata,,Perciformes,Percidae,Etheostoma,Etheostoma zonale,99.0
Ethmalosa_fimbriata,1647.9,Cai_etal_2025,1.0,Animalia,Chordata,,Clupeiformes,Clupeidae,Ethmalosa,Ethmalosa fimbriata,99.0
Etroplus_maculatus,9.7,Cai_etal_2025,1.0,Animalia,Chordata,,Perciformes,Cichlidae,Etroplus,Etroplus maculatus,99.0
Etroplus_suratensis,1431.6,Cai_etal_2025,1.0,Animalia,Chordata,,Perciformes,Cichlidae,Etroplus,Etroplus suratensis,99.0
