mass_g,kingdom,phylum,class,order,family,genus,species
8.1,Animalia,Chordata,Aves,Passeriformes,Meliphagidae,Myzomela,Myzomela boiei
7.85,Animalia,Chordata,Aves,Passeriformes,Meliphagidae,Myzomela,Myzomela caledonica
12.7,Animalia,Chordata,Aves,Passeriformes,Meliphagidae,Myzomela,Myzomela cardinalis
8.1,Animalia,Chordata,Aves,Passeriformes,Meliphagidae,Myzomela,Myzomela chloroptera
13.9,Animalia,Chordata,Aves,Passeriformes,Meliphagidae,Myzomela,Myzomela cineracea
8.25,Animalia,Chordata,Aves,Passeriformes,Meliphagidae,Myzomela,Myzomela cruentata
7.75,Animalia,Chordata,Aves,Passeriformes,Meliphagidae,Myzomela,Myzomela dammermani
13.5,Animalia,Chordata,Aves,Passeriformes,Meliphagidae,Myzomela,Myzomela eques
7.8,Animalia,Chordata,Aves,Passeriformes,Meliphagidae,Myzomela,Myzomela erythrocephala
7.5,Animalia,Chordata,Aves,Passeriformes,Meliphagidae,Myzomela,Myzomela erythromelas
8.5,Animalia,Chordata,Aves,Passeriformes,Meliphagidae,Myzomela,Myzomela jugularis
12.775,Animalia,Chordata,Aves,Passeriformes,Meliphagidae,Myzomela,Myzomela lafargei
9.3,Animalia,Chordata,Aves,Passeriformes,Meliphagidae,Myzomela,Myzomela nigrita
12.25,Animalia,Chordata,Aves,Passeriformes,Meliphagidae,Myzomela,Myzomela obscura
13.075,Animalia,Chordata,Aves,Passeriformes,Meliphagidae,Myzomela,Myzomela pammelaena
10.125,Animalia,Chordata,Aves,Passeriformes,Meliphagidae,Myzomela,Myzomela pulchella
7.5,Animalia,Chordata,Aves,Passeriformes,Meliphagidae,Myzomela,Myzomela rosenbergii
13.35,Animalia,Chordata,Aves,Passeriformes,Meliphagidae,Myzomela,Myzomela rubratra
7.8,Animalia,Chordata,Aves,Passeriformes,Meliphagidae,Myzomela,Myzomela sanguinolenta
10.5,Animalia,Chordata,Aves,Passeriformes,Meliphagidae,Myzomela,Myzomela sclateri
13.35,Animalia,Chordata,Aves,Passeriformes,Meliphagidae,Myzomela,Myzomela tristrami
8.05,Animalia,Chordata,Aves,Passeriformes,Meliphagidae,Myzomela,Myzomela wakoloensis
9.0,Animalia,Chordata,Mammalia,Chiroptera,Myzopodidae,Myzopoda,Myzopoda aurita
11.9,Animalia,Chordata,Aves,Passeriformes,Sylviidae,Myzornis,Myzornis pyrrhoura
27487.5,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Naemorhedus,Naemorhedus baileyi
27000.0,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Naemorhedus,Naemorhedus caudatus
30000.0,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Capricornis,Capricornis crispus
28500.0,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Naemorhedus,Naemorhedus goral
32000.0,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Naemorhedus,Naemorhedus griseus
27.25,Animalia,Chordata,Aves,Passeriformes,Muscicapidae,Namibornis,Namibornis herero
128.0,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Nandayus,Nandayus nenday
2000.0,Animalia,Chordata,Mammalia,Carnivora,Nandiniidae,Nandinia,Nandinia binotata
72999.519,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Nanger,Nanger dama
55464.5,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Nanger,Nanger granti
40000.001,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Nanger,Nanger soemmerringii
45.0,Animalia,Chordata,Amphibia,Anura,Bufonidae,Nannophryne,Nannophryne variegata
41.75,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Nannopsittaca,Nannopsittaca dachilleae
44.175,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Nannopsittaca,Nannopsittaca panychlora
50.0,Animalia,Chordata,Mammalia,Rodentia,Sciuridae,Nannosciurus,Nannosciurus melanotis
133.8,Animalia,Chordata,Mammalia,Rodentia,Spalacidae,Spalax,Spalax ehrenbergi
164.4,Animalia,Chordata,Mammalia,Rodentia,Muridae,Nannospalax,Nannospalax galili
164.4,Animalia,Chordata,Mammalia,Rodentia,Muridae,Nannospalax,Nannospalax golani
178.0,Animalia,Chordata,Mammalia,Rodentia,Spalacidae,Spalax,Spalax leucodon
21.9,Animalia,Chordata,Mammalia,Chiroptera,Pteropodidae,Nanonycteris,Nanonycteris veldkampii
8.7,Animalia,Chordata,Amphibia,Anura,Dicroglossidae,Nanorana,Nanorana parkeri
3.4,Animalia,Chordata,Amphibia,Anura,Dicroglossidae,Nanorana,Nanorana pleskei
60.3,Animalia,Chordata,Amphibia,Anura,Dicroglossidae,Nanorana,Nanorana quadranus
50.7,Animalia,Chordata,Amphibia,Anura,Dicroglossidae,Nanorana,Nanorana taihangnica
5.8,Animalia,Chordata,Amphibia,Anura,Dicroglossidae,Nanorana,Nanorana ventripunctata
47.8,Animalia,Chordata,Amphibia,Anura,Dicroglossidae,Nanorana,Nanorana yunnanensis
5.575,Animalia,Chordata,Mammalia,Rodentia,Dipodidae,Napaeozapus,Napaeozapus insignis
18.75,Animalia,Chordata,Aves,Passeriformes,Pellorneidae,Napothera,Napothera brevicaudata
26.7,Animalia,Chordata,Aves,Passeriformes,Pellorneidae,Napothera,Napothera crassa
27.025,Animalia,Chordata,Aves,Passeriformes,Pellorneidae,Napothera,Napothera crispifrons
16.0,Animalia,Chordata,Aves,Passeriformes,Pellorneidae,Napothera,Napothera epilepidota
48.7,Animalia,Chordata,Aves,Passeriformes,Pellorneidae,Napothera,Napothera macrodactyla
2.5,Animalia,Arthropoda,Diplopoda,Spirobolida,Spirobolidae,Narceus,Narceus americanus
576.200012207031,Animalia,Chordata,Elasmobranchii,Torpediniformes,Narcinidae,Narcine,Narcine brasiliensis
9000.0,Animalia,Chordata,Mammalia,Primates,Cercopithecidae,Nasalis,Nasalis larvatus
92.0,Animalia,Chordata,Aves,Passeriformes,Furnariidae,Nasica,Nasica longirostris
4030.046,Animalia,Chordata,Mammalia,Carnivora,Procyonidae,Nasua,Nasua narica
948.5,Animalia,Chordata,Mammalia,Carnivora,Procyonidae,Nasua,Nasua nasua
1339.985,Animalia,Chordata,Mammalia,Carnivora,Procyonidae,Nasua,Nasua olivacea
4.7,Animalia,Chordata,Mammalia,Chiroptera,Natalidae,Natalus,Natalus jamaicensis
4.7,Animalia,Chordata,Mammalia,Chiroptera,Natalidae,Natalus,Natalus major
4.7,Animalia,Chordata,Mammalia,Chiroptera,Natalidae,Natalus,Natalus primus
4.0,Animalia,Chordata,Mammalia,Chiroptera,Natalidae,Natalus,Natalus stramineus
6.07083190345442,Animalia,Chordata,Mammalia,Chiroptera,Natalidae,Natalus,Natalus tumidirostris
250000.0,Animalia,Chordata,Mammalia,Artiodactyla,Cervidae,Navahoceros,Rangifer fricki
7.30578880461515e-10,Chromista,Ochrophyta,Bacillariophyceae,Naviculales,Naviculaceae,Navicula,Navicula gregaria
1.1264649057746502e-09,Chromista,Ochrophyta,Bacillariophyceae,Naviculales,Naviculaceae,Navicula,Navicula lanceolata
1.65544937135814e-09,Chromista,Ochrophyta,Bacillariophyceae,Naviculales,Naviculaceae,Navicula,Navicula menisculus
