mass_g,kingdom,phylum,class,order,family,genus,species
44.4,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Neopsephotus,Neopsephotus bourkii
46.75,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Neophema,Neophema chrysostoma
41.4,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Neophema,Neophema pulchella
39.1,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Neophema,Neophema splendida
190000.0,Animalia,Chordata,Mammalia,Carnivora,Otariidae,Neophoca,Neophoca cinerea
89125.0938133746,Animalia,Chordata,Mammalia,Carnivora,Otariidae,Neophoca,Neophoca cinerea
7500.0,Animalia,Chordata,Mammalia,Cetacea,Phocoenidae,Neophocaena,Neophocaena phocaenoides
7.7,Animalia,Chordata,Aves,Passeriformes,Tyrannidae,Neopipo,Neopipo cinnamomea
45.5,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Neopsephotus,Neopsephotus bourkii
53.2,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Neopsittacus,Neopsittacus musschenbroekii
34.225,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Neopsittacus,Neopsittacus pullicauda
176.65,Animalia,Chordata,Mammalia,Chiroptera,Pteropodidae,Neopteryx,Neopteryx frosti
6.91,Animalia,Chordata,Mammalia,Chiroptera,Vespertilionidae,Pseudoromicia,Pseudoromicia brunnea
5.967,Animalia,Chordata,Mammalia,Chiroptera,Vespertilionidae,Laephotis,Laephotis capensis
10.5,Animalia,Chordata,Mammalia,Chiroptera,Vespertilionidae,Nycticeinops,Nycticeinops grandidieri
3.5,Animalia,Chordata,Mammalia,Chiroptera,Vespertilionidae,Neoromicia,Neoromicia guineensis
