"genus","species","taxon","taxon_provided","log10_range","mass_g","source_mass","n","kingdom","phylum","class","order","family","taxonomy_source","gbif_confidence","gbif_status","gbif_family","gbif_order","species_changed"
"Abalistes","Abalistes filamentosus","Abalistes_filamentosus","Abalistes filamentosus",0,1375,"fishbase",1,"Animalia","Chordata","Actinopterygii","Tetraodontiformes","Balistidae","GBIF",99,"ACCEPTED","Balistidae","Tetraodontiformes",FALSE
"Abalistes","Abalistes stellaris","Abalistes_stellaris","Abalistes stellaris",0,3711,"Cai_etal_2025",1,"Animalia","Chordata","Actinopterygii","Tetraodontiformes","Balistidae","GBIF",99,"ACCEPTED","Balistidae","Tetraodontiformes",FALSE
"Abatus","Abatus cavernosus","Abatus_cavernosus","Abatus cavernosus",0,2.7,"Brose_etal_2018",1,"Animalia","Echinodermata","Echinoidea","Spatangoida","Schizasteridae","GBIF",99,"ACCEPTED","Schizasteridae","Spatangoida",FALSE
"Abatus","Abatus curvidens","Abatus_curvidens","Abatus curvidens",0,1.4,"Brose_etal_2018",1,"Animalia","Echinodermata","Echinoidea","Spatangoida","Schizasteridae","GBIF",99,"ACCEPTED","Schizasteridae","Spatangoida",FALSE
"Abatus","Abatus nimrodi","Abatus_nimrodi","Abatus nimrodi",0,3.7,"Brose_etal_2018",1,"Animalia","Echinodermata","Echinoidea","Spatangoida","Schizasteridae","GBIF",99,"ACCEPTED","Schizasteridae","Spatangoida",FALSE
"Abatus","Abatus shackletoni","Abatus_shackletoni","Abatus shackletoni",0,1.9,"Brose_etal_2018",1,"Animalia","Echinodermata","Echinoidea","Spatangoida","Schizasteridae","GBIF",99,"ACCEPTED","Schizasteridae","Spatangoida",FALSE
"Abavorana","Abavorana luctuosa","Hylarana_luctuosa","Hylarana luctuosa",0,28.1,"AmphiBIO",1,"Animalia","Chordata","Amphibia","Anura","Ranidae","GBIF",98,"SYNONYM","Ranidae","Anura",TRUE
"Abax","Abax ovalis","Abax_ovalis","Abax ovalis",0,0.286,"Brose_etal_2018",2,"Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","GBIF",99,"ACCEPTED","Carabidae","Coleoptera",FALSE
"Abax","Abax parallelepipedus","Abax_parallelepipedus","Abax parallelepipedus",0,0.582,"Brose_etal_2018",2,"Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","GBIF",99,"ACCEPTED","Carabidae","Coleoptera",FALSE
"Abax","Abax parallelus","Abax_parallelus","Abax parallelus",0,0.5437,"Brose_etal_2018",1,"Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","GBIF",97,"ACCEPTED","Carabidae","Coleoptera",FALSE
"Abbottina","Abbottina binhi","Abbottina_binhi","Abbottina binhi",0,1.3,"Cai_etal_2025",1,"Animalia","Chordata","Actinopterygii","Cypriniformes","Cyprinidae","GBIF",99,"ACCEPTED","Cyprinidae","Cypriniformes",FALSE
"Abbottina","Abbottina obtusirostris","Abbottina_obtusirostris","Abbottina obtusirostris",0,13.5,"Cai_etal_2025; fishbase",2,"Animalia","Chordata","Actinopterygii","Cypriniformes","Cyprinidae","GBIF",99,"ACCEPTED","Cyprinidae","Cypriniformes",FALSE
"Abbottina","Abbottina rivularis","Abbottina_rivularis","Abbottina rivularis",0.72288216174143,49.95,"Cai_etal_2025; Killen_etal_2016",2,"Animalia","Chordata","Actinopterygii","Cypriniformes","Cyprinidae","GBIF",99,"ACCEPTED","Cyprinidae","Cypriniformes",FALSE
"Abditomys","Abditomys latidens","Abditomys_latidens","Abditomys latidens",0.00147166529523127,268.7,"Faurby_etal_2018; Smith_2003; rdataretriever-pantheria_rdataretriever-amniote-life-hist",3,"Animalia","Chordata","Mammalia","Rodentia","Muridae","GBIF",99,"ACCEPTED","Muridae","Rodentia",FALSE
"Abeillia","Abeillia abeillei","Abeillia_abeillei","Abeillia abeillei",0,2.7,"Wilman_etal_2014; rdataretriever-amniote-life-hist",2,"Animalia","Chordata","Aves","Apodiformes","Trochilidae","GBIF",99,"ACCEPTED","Trochilidae","Apodiformes",FALSE
"Abeomelomys","Abeomelomys sevia","Abeomelomys_sevia","Abeomelomys sevia; Pogonomelomys sevia",0.0686139489980762,55.32,"Faurby_etal_2018; Smith_2003; rdataretriever-mammal-life-hist; rdataretriever-pantheria_rdataretriever-amniote-life-hist",4,"Animalia","Chordata","Mammalia","Rodentia","Muridae","GBIF",98,"ACCEPTED","Muridae","Rodentia",TRUE
"Ablabesmyia","Ablabesmyia monilis","Ablabesmyia_monilis","Ablabesmyia monilis",0,0.001004,"Brose_etal_2018",1,"Animalia","Arthropoda","Insecta","Diptera","Chironomidae","GBIF",99,"ACCEPTED","Chironomidae","Diptera",FALSE
"Ablennes","Ablennes hians","Ablennes_hians","Ablennes hians",0.440000673193176,2949,"Cai_etal_2025; fishbase",2,"Animalia","Chordata","Actinopterygii","Beloniformes","Belonidae","GBIF",99,"ACCEPTED","Belonidae","Beloniformes",FALSE
"Ablepharus","Ablepharus bivittatus","Ablepharus_bivittatus","Ablepharus bivittatus",0.00366746349936736,4.382,"Feldman_etal_2016; Meiri_2018",2,"Animalia","Chordata","Reptilia","Squamata","Scincidae","GBIF",99,"ACCEPTED","Scincidae",NA,FALSE
"Ablepharus","Ablepharus budaki","Ablepharus_budaki","Ablepharus budaki",0.228081014991359,1.734,"Feldman_etal_2016; Meiri_2018; rdataretriever-amniote-life-hist",3,"Animalia","Chordata","Reptilia","Squamata","Scincidae","GBIF",99,"ACCEPTED","Scincidae",NA,FALSE
"Ablepharus","Ablepharus chernovi","Ablepharus_chernovi","Ablepharus chernovi",0.39339084427293,2.345,"Feldman_etal_2016; Meiri_2018; rdataretriever-amniote-life-hist",3,"Animalia","Chordata","Reptilia","Squamata","Scincidae","GBIF",99,"ACCEPTED","Scincidae",NA,FALSE
"Ablepharus","Ablepharus darvazi","Ablepharus_darvazi","Ablepharus darvazi",0.00575232888909134,1.51,"Feldman_etal_2016; Meiri_2018",2,"Animalia","Chordata","Reptilia","Squamata","Scincidae","GBIF",99,"ACCEPTED","Scincidae",NA,FALSE
"Ablepharus","Ablepharus deserti","Ablepharus_deserti","Ablepharus deserti",0.00279290018416998,3.887,"Feldman_etal_2016; Meiri_2018",2,"Animalia","Chordata","Reptilia","Squamata","Scincidae","GBIF",99,"ACCEPTED","Scincidae",NA,FALSE
"Ablepharus","Ablepharus grayanus","Ablepharus_grayanus","Ablepharus grayanus",0.078577639999239,0.6595,"Feldman_etal_2016; Meiri_2018",2,"Animalia","Chordata","Reptilia","Squamata","Scincidae","GBIF",99,"ACCEPTED","Scincidae",NA,FALSE
"Ablepharus","Ablepharus kitaibelii","Ablepharus_kitaibelii","Ablepharus kitaibelii",0.493592764079929,2.866,"Feldman_etal_2016; Meiri_2018; rdataretriever-amniote-life-hist",3,"Animalia","Chordata","Reptilia","Squamata","Scincidae","GBIF",99,"ACCEPTED","Scincidae",NA,FALSE
"Ablepharus","Ablepharus lindbergi","Ablepharus_lindbergi","Ablepharus lindbergi",0.00075595229165701,2.298,"Feldman_etal_2016; Meiri_2018",2,"Animalia","Chordata","Reptilia","Squamata","Scincidae","GBIF",99,"ACCEPTED","Scincidae",NA,FALSE
"Ablepharus","Ablepharus pannonicus","Ablepharus_pannonicus","Ablepharus pannonicus",0.00321029039592597,3.112,"Feldman_etal_2016; Meiri_2018",2,"Animalia","Chordata","Reptilia","Squamata","Scincidae","GBIF",98,"ACCEPTED","Scincidae",NA,FALSE
"Ablepharus","Ablepharus rueppellii","Ablepharus_rueppellii","Ablepharus rueppellii",0.00100106340574784,2.603,"Feldman_etal_2016; Meiri_2018",2,"Animalia","Chordata","Reptilia","Squamata","Scincidae","GBIF",99,"ACCEPTED","Scincidae",NA,FALSE
"Abra","Abra alba","Abra_alba","Abra alba",0,0.001727,"Brose_etal_2018",1,"Animalia","Mollusca","Bivalvia","Cardiida","Semelidae","GBIF",99,"ACCEPTED","Semelidae","Cardiida",FALSE
"Abralia","Abralia multihamata","Abralia_multihamata","Abralia multihamata",0,10,"sealifebase",1,"Animalia","Mollusca","Cephalopoda","Oegopsida","Enoploteuthidae","GBIF",99,"ACCEPTED","Enoploteuthidae","Oegopsida",FALSE
"Abramis","Abramis brama","Abramis_brama","Abramis brama",3.21699140564029,2311,"AnAge; Brown_etal_2018; Cai_etal_2025; Castro_2025; DeLong_etal_2018; Makarieva_2008; fishbase",7,"Animalia","Chordata","Actinopterygii","Cypriniformes","Cyprinidae","GBIF",97,"ACCEPTED","Cyprinidae","Cypriniformes",FALSE
"Abramites","Abramites hypselonotus","Abramites_hypselonotus","Abramites hypselonotus",0,35.2,"Cai_etal_2025",1,"Animalia","Chordata","Actinopterygii","Characiformes","Anostomidae","GBIF",99,"ACCEPTED","Anostomidae","Characiformes",FALSE
"Abrawayaomys","Abrawayaomys ruschii","Abrawayaomys_ruschii","Abrawayaomys ruschii",6.8941103709175e-05,63,"Faurby_etal_2018; Smith_2003; rdataretriever-pantheria_rdataretriever-amniote-life-hist",3,"Animalia","Chordata","Mammalia","Rodentia","Cricetidae","GBIF",99,"ACCEPTED","Cricetidae","Rodentia",FALSE
"Abrocoma","Abrocoma bennettii","Abrocoma_bennettii","Abrocoma bennettii; Abrocoma bennetti",0.089198366805149,266.2,"AnAge; Faurby_etal_2018; Smith_2003; rdataretriever-mammal-life-hist; rdataretriever-pantheria_rdataretriever-amniote-life-hist",5,"Animalia","Chordata","Mammalia","Rodentia","Abrocomidae","GBIF",96,"ACCEPTED","Abrocomidae","Rodentia",TRUE
"Abrocoma","Abrocoma boliviensis","Abrocoma_boliviensis","Abrocoma boliviensis",2.74869055427581e-06,158,"Faurby_etal_2018; Smith_2003; rdataretriever-pantheria_rdataretriever-amniote-life-hist",3,"Animalia","Chordata","Mammalia","Rodentia","Abrocomidae","GBIF",99,"ACCEPTED","Abrocomidae","Rodentia",FALSE
"Abrocoma","Abrocoma budini","Abrocoma_budini","Abrocoma budini",0.211145441361613,291.3,"Faurby_etal_2018; rdataretriever-amniote-life-hist",2,"Animalia","Chordata","Mammalia","Rodentia","Abrocomidae","GBIF",99,"ACCEPTED","Abrocomidae","Rodentia",FALSE
"Abrocoma","Abrocoma cinerea","Abrocoma_cinerea","Abrocoma cinerea",0.0542947474728246,242.7,"Faurby_etal_2018; Quaardvark; Smith_2003; rdataretriever-mammal-life-hist_rdataretriever-pantheria_rdataretriever-amniote-life-hist",4,"Animalia","Chordata","Mammalia","Rodentia","Abrocomidae","GBIF",99,"ACCEPTED","Abrocomidae","Rodentia",FALSE
"Abrocoma","Abrocoma famatina","Abrocoma_famatina","Abrocoma famatina",0.0221001507526006,227.6,"Faurby_etal_2018; rdataretriever-amniote-life-hist",2,"Animalia","Chordata","Mammalia","Rodentia","Abrocomidae","GBIF",99,"ACCEPTED","Abrocomidae","Rodentia",FALSE
"Abrocoma","Abrocoma shistacea","Abrocoma_shistacea","Abrocoma shistacea",0.0953801839597607,249.1,"Faurby_etal_2018; rdataretriever-amniote-life-hist",2,"Animalia","Chordata","Mammalia","Rodentia","Abrocomidae","GBIF",99,"ACCEPTED","Abrocomidae","Rodentia",FALSE
"Abrocoma","Abrocoma uspallata","Abrocoma_uspallata","Abrocoma uspallata",0,245.8,"Faurby_etal_2018",1,"Animalia","Chordata","Mammalia","Rodentia","Abrocomidae","GBIF",99,"ACCEPTED","Abrocomidae","Rodentia",FALSE
"Abrocoma","Abrocoma vaccarum","Abrocoma_vaccarum","Abrocoma vaccarum",0.0593456592189584,238.1,"Faurby_etal_2018; rdataretriever-amniote-life-hist",2,"Animalia","Chordata","Mammalia","Rodentia","Abrocomidae","GBIF",99,"ACCEPTED","Abrocomidae","Rodentia",FALSE
"Abronia","Abronia antauges","Mesaspis_antauges","Mesaspis antauges",0.00130484168834438,8.986,"Feldman_etal_2016; Meiri_2018",2,"Animalia","Chordata","Reptilia","Squamata","Anguidae","GBIF",98,"SYNONYM","Anguidae",NA,TRUE
"Abronia","Abronia anzuetoi","Abronia_anzuetoi","Abronia anzuetoi",0.000204899614453467,44.51,"Feldman_etal_2016; Meiri_2018",2,"Animalia","Chordata","Reptilia","Squamata","Anguidae","GBIF",99,"ACCEPTED","Anguidae",NA,FALSE
"Abronia","Abronia bogerti","Abronia_bogerti","Abronia bogerti",0.119200883960669,11.12,"Feldman_etal_2016; Meiri_2018",2,"Animalia","Chordata","Reptilia","Squamata","Anguidae","GBIF",99,"ACCEPTED","Anguidae",NA,FALSE
"Abronia","Abronia campbelli","Abronia_campbelli","Abronia campbelli",6.03228672271581e-05,36,"Feldman_etal_2016; Meiri_2018",2,"Animalia","Chordata","Reptilia","Squamata","Anguidae","GBIF",99,"ACCEPTED","Anguidae",NA,FALSE
"Abronia","Abronia chiszari","Abronia_chiszari","Abronia chiszari",0.505313743849539,12.18,"Feldman_etal_2016; Meiri_2018",2,"Animalia","Chordata","Reptilia","Squamata","Anguidae","GBIF",99,"ACCEPTED","Anguidae",NA,FALSE
"Abronia","Abronia cuchumatanus","Mesaspis_cuchumatanus","Mesaspis cuchumatanus",0,4.995,"Meiri_2018",1,"Animalia","Chordata","Reptilia","Squamata","Anguidae","GBIF",98,"SYNONYM","Anguidae",NA,TRUE
"Abronia","Abronia cuetzpali","Abronia_cuetzpali","Abronia cuetzpali",0,25.48,"Meiri_2018",1,"Animalia","Chordata","Reptilia","Squamata","Anguidae","GBIF",99,"ACCEPTED","Anguidae",NA,FALSE
"Abronia","Abronia deppii","Abronia_deppii","Abronia deppii",0.076547640364987,27.96,"Feldman_etal_2016; Meiri_2018",2,"Animalia","Chordata","Reptilia","Squamata","Anguidae","GBIF",99,"ACCEPTED","Anguidae",NA,FALSE
"Abronia","Abronia fimbriata","Abronia_fimbriata","Abronia fimbriata",0.000456326172044043,39.02,"Feldman_etal_2016; Meiri_2018",2,"Animalia","Chordata","Reptilia","Squamata","Anguidae","GBIF",99,"ACCEPTED","Anguidae",NA,FALSE
"Abronia","Abronia frosti","Abronia_frosti","Abronia frosti",0.000597242104534146,21.82,"Feldman_etal_2016; Meiri_2018",2,"Animalia","Chordata","Reptilia","Squamata","Anguidae","GBIF",99,"ACCEPTED","Anguidae",NA,FALSE
"Abronia","Abronia fuscolabialis","Abronia_fuscolabialis","Abronia fuscolabialis",0.000451651973617506,27.89,"Feldman_etal_2016; Meiri_2018",2,"Animalia","Chordata","Reptilia","Squamata","Anguidae","GBIF",99,"ACCEPTED","Anguidae",NA,FALSE
"Abronia","Abronia gadovii","Mesaspis_gadovii","Mesaspis gadovii",0.192428602936437,17.45,"Feldman_etal_2016; Meiri_2018; rdataretriever-amniote-life-hist",3,"Animalia","Chordata","Reptilia","Squamata","Anguidae","GBIF",98,"SYNONYM","Anguidae",NA,TRUE
"Abronia","Abronia gaiophantasma","Abronia_gaiophantasma","Abronia gaiophantasma",0.000597242104534146,21.82,"Feldman_etal_2016; Meiri_2018",2,"Animalia","Chordata","Reptilia","Squamata","Anguidae","GBIF",99,"ACCEPTED","Anguidae",NA,FALSE
"Abronia","Abronia graminea","Abronia_graminea","Abronia graminea",0.0653345847244946,20.76,"Feldman_etal_2016; Meiri_2018",2,"Animalia","Chordata","Reptilia","Squamata","Anguidae","GBIF",99,"ACCEPTED","Anguidae",NA,FALSE
"Abronia","Abronia juarezi","Mesaspis_juarezi","Mesaspis juarezi",0.182478057717082,7.4,"Feldman_etal_2016; Meiri_2018; rdataretriever-amniote-life-hist",3,"Animalia","Chordata","Reptilia","Squamata","Anguidae","GBIF",98,"SYNONYM","Anguidae",NA,TRUE
"Abronia","Abronia leurolepis","Abronia_leurolepis","Abronia leurolepis",0.000771206805439993,18.58,"Feldman_etal_2016; Meiri_2018",2,"Animalia","Chordata","Reptilia","Squamata","Anguidae","GBIF",99,"ACCEPTED","Anguidae",NA,FALSE
"Abronia","Abronia lythrochila","Abronia_lythrochila","Abronia lythrochila",0.000735469239111211,29.52,"Feldman_etal_2016; Meiri_2018",2,"Animalia","Chordata","Reptilia","Squamata","Anguidae","GBIF",99,"ACCEPTED","Anguidae",NA,FALSE
"Abronia","Abronia martindelcampoi","Abronia_martindelcampoi","Abronia martindelcampoi",0.000306669059631824,25.49,"Feldman_etal_2016; Meiri_2018",2,"Animalia","Chordata","Reptilia","Squamata","Anguidae","GBIF",99,"ACCEPTED","Anguidae",NA,FALSE
"Abronia","Abronia matudai","Abronia_matudai","Abronia matudai",0.000597242104534146,21.82,"Feldman_etal_2016; Meiri_2018",2,"Animalia","Chordata","Reptilia","Squamata","Anguidae","GBIF",99,"ACCEPTED","Anguidae",NA,FALSE
"Abronia","Abronia meledona","Abronia_meledona","Abronia meledona",0.000735469239111211,29.52,"Feldman_etal_2016; Meiri_2018",2,"Animalia","Chordata","Reptilia","Squamata","Anguidae","GBIF",99,"ACCEPTED","Anguidae",NA,FALSE
"Abronia","Abronia mitchelli","Abronia_mitchelli","Abronia mitchelli",0.000771206805439993,18.58,"Feldman_etal_2016; Meiri_2018",2,"Animalia","Chordata","Reptilia","Squamata","Anguidae","GBIF",99,"ACCEPTED","Anguidae",NA,FALSE
"Abronia","Abronia mixteca","Abronia_mixteca","Abronia mixteca",4.95903394849768e-05,61.3,"Feldman_etal_2016; Meiri_2018",2,"Animalia","Chordata","Reptilia","Squamata","Anguidae","GBIF",99,"ACCEPTED","Anguidae",NA,FALSE
"Abronia","Abronia montecristoi","Abronia_montecristoi","Abronia montecristoi",0.00103356825075971,12.19,"Feldman_etal_2016; Meiri_2018",2,"Animalia","Chordata","Reptilia","Squamata","Anguidae","GBIF",99,"ACCEPTED","Anguidae",NA,FALSE
"Abronia","Abronia monticola","Mesaspis_monticola","Mesaspis monticola",0.0240749873074264,10.2,"Feldman_etal_2016; Meiri_2018; rdataretriever-amniote-life-hist",3,"Animalia","Chordata","Reptilia","Squamata","Anguidae","GBIF",98,"SYNONYM","Anguidae",NA,TRUE
"Abronia","Abronia oaxacae","Abronia_oaxacae","Abronia oaxacae",0.0006896492289497,27.08,"Feldman_etal_2016; Meiri_2018",2,"Animalia","Chordata","Reptilia","Squamata","Anguidae","GBIF",99,"ACCEPTED","Anguidae",NA,FALSE
"Abronia","Abronia ochoterenai","Abronia_ochoterenai","Abronia ochoterenai",0.000785665751798538,24.32,"Feldman_etal_2016; Meiri_2018",2,"Animalia","Chordata","Reptilia","Squamata","Anguidae","GBIF",99,"ACCEPTED","Anguidae",NA,FALSE
"Abronia","Abronia ornelasi","Abronia_ornelasi","Abronia ornelasi",0.000246478146174868,14.1,"Feldman_etal_2016; Meiri_2018",2,"Animalia","Chordata","Reptilia","Squamata","Anguidae","GBIF",99,"ACCEPTED","Anguidae",NA,FALSE
"Abronia","Abronia ramirezi","Abronia_ramirezi","Abronia ramirezi",0.00103356825075971,12.19,"Feldman_etal_2016; Meiri_2018",2,"Animalia","Chordata","Reptilia","Squamata","Anguidae","GBIF",99,"ACCEPTED","Anguidae",NA,FALSE
"Abronia","Abronia reidi","Abronia_reidi","Abronia reidi",0.000886089533405302,15.68,"Feldman_etal_2016; Meiri_2018",2,"Animalia","Chordata","Reptilia","Squamata","Anguidae","GBIF",99,"ACCEPTED","Anguidae",NA,FALSE
"Abronia","Abronia salvadorensis","Abronia_salvadorensis","Abronia salvadorensis",0.00110157188267505,12.62,"Feldman_etal_2016; Meiri_2018",2,"Animalia","Chordata","Reptilia","Squamata","Anguidae","GBIF",99,"ACCEPTED","Anguidae",NA,FALSE
"Abronia","Abronia smithi","Abronia_smithi","Abronia smithi",0.000597242104534146,21.82,"Feldman_etal_2016; Meiri_2018",2,"Animalia","Chordata","Reptilia","Squamata","Anguidae","GBIF",99,"ACCEPTED","Anguidae",NA,FALSE
"Abronia","Abronia taeniata","Abronia_taeniata","Abronia taeniata",0.000370346506038486,48.08,"Feldman_etal_2016; Meiri_2018",2,"Animalia","Chordata","Reptilia","Squamata","Anguidae","GBIF",99,"ACCEPTED","Anguidae",NA,FALSE
"Abronia","Abronia vasconcelosii","Abronia_vasconcelosii","Abronia vasconcelosii",0.000735469239111211,29.52,"Feldman_etal_2016; Meiri_2018",2,"Animalia","Chordata","Reptilia","Squamata","Anguidae","GBIF",99,"ACCEPTED","Anguidae",NA,FALSE
"Abronia","Abronia villosa","Abronia_aurita","Abronia aurita",0.000509735365915148,34.08,"Feldman_etal_2016; Meiri_2018",2,"Viridiplantae","Streptophyta","Magnoliopsida","Squamata","Anguidae","NCBI",100,NA,NA,NA,TRUE
"Abronia","Abronia viridiflava","Mesaspis_viridiflava","Mesaspis viridiflava",0.00323176410780322,5.778,"Feldman_etal_2016; Meiri_2018",2,"Animalia","Chordata","Reptilia","Squamata","Anguidae","GBIF",98,"SYNONYM","Anguidae",NA,TRUE
"Abroscopus","Abroscopus albogularis","Abroscopus_albogularis","Abroscopus albogularis",0,4.84,"Wilman_etal_2014",1,"Animalia","Chordata","Aves","Passeriformes","Cettiidae","GBIF",98,"ACCEPTED","Cettiidae","Passeriformes",FALSE
"Abroscopus","Abroscopus schisticeps","Abroscopus_schisticeps","Abroscopus schisticeps",0.0136438806665461,4.775,"Wilman_etal_2014; rdataretriever-amniote-life-hist",2,"Animalia","Chordata","Aves","Passeriformes","Cettiidae","GBIF",99,"ACCEPTED","Cettiidae","Passeriformes",FALSE
"Abroscopus","Abroscopus superciliaris","Abroscopus_superciliaris","Abroscopus superciliaris",0.00133835077226215,6.49,"Wilman_etal_2014; rdataretriever-amniote-life-hist",2,"Animalia","Chordata","Aves","Passeriformes","Cettiidae","GBIF",99,"ACCEPTED","Cettiidae","Passeriformes",FALSE
"Abrothrix","Abrothrix andinus","Abrothrix_andinus","Abrothrix andinus",0.21276597813886,21.79,"Faurby_etal_2018; Smith_2003; rdataretriever-pantheria_rdataretriever-amniote-life-hist",3,"Animalia","Chordata","Mammalia","Rodentia","Cricetidae","GBIF",99,"ACCEPTED","Cricetidae","Rodentia",FALSE
"Abrothrix","Abrothrix illuteus","Abrothrix_illutea","Abrothrix illutea; Abrothrix illuteus",9.0866091324781e-05,47.8,"Faurby_etal_2018; Smith_2003; rdataretriever-pantheria_rdataretriever-amniote-life-hist",3,"Animalia","Chordata","Mammalia","Rodentia","Cricetidae","GBIF",96,"ACCEPTED","Cricetidae","Rodentia",TRUE
"Abrothrix","Abrothrix jelskii","Abrothrix_jelskii","Abrothrix jelskii",0,34.5,"Faurby_etal_2018; Smith_2003; rdataretriever-pantheria_rdataretriever-amniote-life-hist",3,"Animalia","Chordata","Mammalia","Rodentia","Cricetidae","GBIF",99,"ACCEPTED","Cricetidae","Rodentia",FALSE
"Abrothrix","Abrothrix lanosus","Abrothrix_lanosus","Abrothrix lanosus",0.082851151224078,30.62,"Faurby_etal_2018; Smith_2003; rdataretriever-pantheria_rdataretriever-amniote-life-hist",3,"Animalia","Chordata","Mammalia","Rodentia","Cricetidae","GBIF",99,"ACCEPTED","Cricetidae","Rodentia",FALSE
"Abrothrix","Abrothrix longipilis","Abrothrix_longipilis","Abrothrix longipilis; Akodon longipilis",0.353727320993201,49.37,"Faurby_etal_2018; Smith_2003; rdataretriever-mammal-life-hist; rdataretriever-pantheria_rdataretriever-amniote-life-hist",4,"Animalia","Chordata","Mammalia","Rodentia","Cricetidae","GBIF",98,"ACCEPTED","Cricetidae","Rodentia",TRUE
"Abrothrix","Abrothrix markhami","Abrothrix_markhami","Abrothrix markhami",0,27,"rdataretriever-amniote-life-hist",1,"Animalia","Chordata","Mammalia","Rodentia","Cricetidae","GBIF",99,"ACCEPTED","Cricetidae","Rodentia",FALSE
"Abrothrix","Abrothrix olivaceus","Abrothrix_olivaceus","Abrothrix olivaceus; Akodon olivaceus",0.201064607026499,28.86,"Faurby_etal_2018; Smith_2003; Tucker_etal_2014b; rdataretriever-mammal-life-hist; rdataretriever-pantheria_rdataretriever-amniote-life-hist",5,"Animalia","Chordata","Mammalia","Rodentia","Cricetidae","GBIF",98,"ACCEPTED","Cricetidae","Rodentia",TRUE
"Abrothrix","Abrothrix sanborni","Abrothrix_sanborni","Abrothrix sanborni",0,24.7,"Faurby_etal_2018; Smith_2003; rdataretriever-pantheria_rdataretriever-amniote-life-hist",3,"Animalia","Chordata","Mammalia","Rodentia","Cricetidae","GBIF",99,"ACCEPTED","Cricetidae","Rodentia",FALSE
"Abudefduf","Abudefduf bengalensis","Abudefduf_bengalensis","Abudefduf bengalensis",0,124.1,"Cai_etal_2025",1,"Animalia","Chordata","Actinopterygii","Perciformes","Pomacentridae","GBIF",99,"ACCEPTED","Pomacentridae","Perciformes",FALSE
"Abudefduf","Abudefduf saxatilis","Abudefduf_saxatilis","Abudefduf saxatilis",1.31306081478195,41.01,"Brose_etal_2018; Mahe_2023",2,"Animalia","Chordata","Actinopterygii","Perciformes","Pomacentridae","GBIF",99,"ACCEPTED","Pomacentridae","Perciformes",FALSE
"Abudefduf","Abudefduf sexfasciatus","Abudefduf_sexfasciatus","Abudefduf sexfasciatus",0,35.6,"DeLong_etal_2018",1,"Animalia","Chordata","Actinopterygii","Perciformes","Pomacentridae","GBIF",99,"ACCEPTED","Pomacentridae","Perciformes",FALSE
"Abudefduf","Abudefduf taurus","Abudefduf_taurus","Abudefduf taurus",0,227.6,"fishbase; Froese_2014",1,"Animalia","Chordata","Actinopterygii","Perciformes","Pomacentridae","GBIF",99,"ACCEPTED","Pomacentridae","Perciformes",FALSE
"Abudefduf","Abudefduf vaigiensis","Abudefduf_vaigiensis","Abudefduf vaigiensis",0,203,"Cai_etal_2025",1,"Animalia","Chordata","Actinopterygii","Perciformes","Pomacentridae","GBIF",99,"ACCEPTED","Pomacentridae","Perciformes",FALSE
"Aburria","Aburria aburri","Aburria_aburri","Aburria aburri",0.0242577745171833,1367,"Wilman_etal_2014; rdataretriever-amniote-life-hist",2,"Animalia","Chordata","Aves","Galliformes","Cracidae","GBIF",99,"ACCEPTED","Cracidae","Galliformes",FALSE
"Abyssorchomene","Abyssorchomene nodimanus","Abyssorchomene_nodimanus","Abyssorchomene nodimanus",0,0.24,"Brose_etal_2018",1,"Animalia","Arthropoda","Malacostraca","Amphipoda","Uristidae","GBIF",99,"ACCEPTED","Uristidae","Amphipoda",FALSE
"Acanalonia","Acanalonia servillei","Acanalonia_latifrons","Acanalonia latifrons",0,0.011,"Brose_etal_2018",1,"Animalia","Arthropoda","Insecta","Hemiptera","Acanaloniidae","GBIF",98,"SYNONYM","Acanaloniidae","Hemiptera",TRUE
"Acanthagenys","Acanthagenys rufogularis","Acanthagenys_rufogularis","Acanthagenys rufogularis; Anthochaera rufogularis",0.0582516148370838,45.68,"Wilman_etal_2014; rdataretriever-amniote-life-hist; rdataretriever-bird-size_rdataretriever-amniote-life-hist",3,"Animalia","Chordata","Aves","Passeriformes","Meliphagidae","GBIF",98,"ACCEPTED","Meliphagidae","Passeriformes",TRUE
"Acanthaluteres","Acanthaluteres brownii","Acanthaluteres_brownii","Acanthaluteres brownii",0,2625,"Cai_etal_2025",1,"Animalia","Chordata","Actinopterygii","Tetraodontiformes","Monacanthidae","GBIF",99,"ACCEPTED","Monacanthidae","Tetraodontiformes",FALSE
"Acanthamoeba","Acanthamoeba castellanii","Acanthamoeba_castellanii","Acanthamoeba castellanii",0.400587151197122,3.107e-09,"Castro_2025; DeLong_etal_2010",3,"Protozoa","Amoebozoa","Lobosa","Amoebida","Acanthamoebidae","GBIF",99,"ACCEPTED","Acanthamoebidae","Amoebida",FALSE
"Acanthamoeba","Acanthamoeba palestinensis","Acanthamoeba_palestinensis","Acanthamoeba palestinensis; Mayorella palestinensis",0.216013324630964,6.946e-09,"Castro_2025; DeLong_etal_2010; Makarieva_2008",4,"Protozoa","Amoebozoa","Lobosa","Amoebida","Acanthamoebidae","GBIF",98,"ACCEPTED","Acanthamoebidae","Amoebida",TRUE
